Field 1,BEECHJET 400,BEECHJET 400A,CITATION 500,CITATION 525,CITATION BRAVO,CITATION CJ1,CITATION CJ2,CITATION ENCORE,CITATION EXCEL,CITATION I,CITATION I/SP,CITATION II,CITATION II/SP,CITATION S/II,CITATION ULTRA,CITATION V,DIAMOND I,DIAMOND IA,DIAMOND II,FALCON 10,FALCON 100,JET COMMANDER 1121,JET COMMANDER 1121A,JET COMMANDER 1121B,LEARJET 23,LEARJET 24,LEARJET 24A,LEARJET 24B,LEARJET 24D,LEARJET 24E,LEARJET 24F,LEARJET 25,LEARJET 25B,LEARJET 25C,LEARJET 25D,LEARJET 25G,LEARJET 28,LEARJET 29,LEARJET 31,LEARJET 31A,LEARJET 35,LEARJET 35A,LEARJET 36,LEARJET 36A,LEARJET 55,PREMIER I,SABRELINER 40,SABRELINER 40A,SABRELINER 40EL,SABRELINER 40EX,SABRELINER 40R,SABRELINER 40SE,CITATION CJ3,HAWKER 400XP,CITATION CJ1+,CITATION CJ2+,PREMIER IA,CITATION ENCORE+,CITATION CJ4,EMBRAER PHENOM 100,EMBRAER PHENOM 300,HONDAJET HA-420,SYBERJET SJ30-2,CITATION M2,NEXTANT 400XT,CITATION CJ3+,PILATUS PC-24,NEXTANT 400XTi,HAWKER 400XPR,EMBRAER PHENOM 100E,EMBRAER PHENOM 100EV,EMBRAER PHENOM 300E,HONDAJET ELITE,CITATION CJ4 GEN2,HONDAJET ELITE S,CITATION M2 GEN 2
Fuel,1159.82,1135.62,935.11,780.36,1034.55,815.1,852.72,1241.46,1511.07,935.11,1015.74,1210.11,1035.24,1109.35,1222.65,1141.14,1086.9,1086.9,1115.93,1329.24,1322.97,1975.05,1975.05,1993.86,1561.23,1536.15,1536.15,1536.15,1536.15,1371.12,1371.12,1536.15,1523.61,1523.61,1669.58,1669.58,1443.35,1443.35,1222.65,1222.65,1237.26,1237.26,1237.26,1087.97,1487.62,965.58,1893.54,1893.54,1711.71,1711.71,1711.71,1711.71,1040.82,1341.78,915.42,965.58,965.58,1241.46,1266.54,664.62,1059.63,771.21,788.45,815.1,858.99,833.22,1003.2,813.78,959.31,664.62,658.35,987.65,644.81,1078.44,688.32,699.42
Fuel Cost Per Gallon,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27
Additive Cost Per Gallon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burn Rate (Gallons Per Hour),184.98,181.12,149.14,124.46,165.0,130.0,136.0,198.0,241.0,149.14,162.0,193.0,165.11,176.93,195.0,182.0,173.35,173.35,177.98,212.0,211.0,315.0,315.0,318.0,249.0,245.0,245.0,245.0,245.0,218.68,218.68,245.0,243.0,243.0,266.28,266.28,230.2,230.2,195.0,195.0,197.33,197.33,197.33,173.52,237.26,154.0,302.0,302.0,273.0,273.0,273.0,273.0,166.0,214.0,146.0,154.0,154.0,198.0,202.0,106.0,169.0,123.0,125.75,130.0,137.0,132.89,160.0,129.79,153.0,106.0,105.0,157.52,102.84,172.0,109.78,111.55
Maintenance,563.31,529.28,228.7,480.71,619.68,400.71,437.85,709.28,628.57,397.0,310.57,228.06,295.0,335.77,283.1,338.7,310.57,552.45,263.33,373.77,347.19,183.45,183.45,183.45,423.04,423.04,407.64,371.52,360.52,360.52,423.04,360.52,360.52,360.52,360.52,360.52,360.52,360.52,360.52,354.04,354.04,331.81,354.04,354.04,370.91,449.28,183.0,183.0,183.45,183.45,183.45,183.45,392.25,366.43,381.85,448.28,402.4,480.71,312.0,251.2,232.0,183.45,342.0,323.0,329.28,301.0,497.0,382.0,329.28,224.42,278.0,311.0,325.0,321.0,329.0,322.0
Labor Cost Per Hour,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,120.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,126.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
Parts Cost Per Hour,448.31,414.28,113.7,365.71,504.68,285.71,322.85,594.28,508.57,282.0,195.57,113.06,180.0,220.77,168.1,223.7,195.57,437.45,148.33,258.77,232.19,68.45,68.45,68.45,308.04,308.04,292.64,245.52,245.52,245.52,308.04,245.52,245.52,245.52,245.52,245.52,245.52,245.52,245.52,239.04,239.04,216.81,239.04,239.04,255.91,334.28,68.0,68.0,68.45,68.45,68.45,68.45,277.25,251.43,266.85,333.28,287.4,365.71,197.0,136.2,117.0,68.45,227.0,208.0,214.28,186.0,382.0,267.0,214.28,109.42,163.0,196.0,210.0,206.0,214.0,207.0
Labor Cost Per Man Hour,641.7,342.7,0.0,262.2,251.85,276.0,208.15,274.85,160.8,630.2,546.25,483.0,596.85,565.8,239.2,288.65,0.0,0.0,0.0,702.65,647.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.8,493.35,372.6,307.05,243.8,239.2,511.75,385.25,100.05,100.05,101.2,101.2,101.2,102.35,175.95,208.15,263.35,215.05,345.0,178.25,242.65,347.3,100.05,231.15,0.0,259.9,105.8,186.3,182.85,147.2,261.05,377.2,377.2,181.7,164.45,269.1,234.6,347.3
Parts Cost Per Man Hour,156.9,144.99,39.79,127.99,176.63,99.99,112.99,207.99,177.99,98.7,68.44,39.57,63.0,77.26,58.83,78.29,0.0,153.1,0.0,90.56,81.26,23.95,23.95,23.95,107.81,0.0,102.42,85.93,85.93,85.93,107.81,85.93,85.93,85.93,85.93,85.93,85.93,85.93,85.93,83.66,83.66,75.88,83.66,83.66,89.56,116.99,23.8,23.8,23.95,23.95,23.95,23.95,97.03,88.0,93.39,116.64,100.59,127.99,68.95,47.67,40.95,23.95,79.45,72.8,74.99,65.1,133.7,93.45,74.99,38.29,57.05,68.6,73.5,72.1,74.9,72.45
Engine Overhaul,250.0,250.0,177.67,226.56,347.65,200.2,218.02,313.4,349.32,171.42,457.14,185.71,185.71,206.68,308.3,308.3,485.71,231.56,416.67,174.56,174.54,666.67,666.67,466.67,900.0,900.0,900.0,900.0,900.0,900.0,163.88,900.0,900.0,900.0,165.2,900.0,900.0,900.0,357.14,176.83,357.14,168.9,357.14,168.9,195.35,203.6,133.33,400.0,400.0,400.0,400.0,400.0,180.18,220.5,125.78,200.6,203.6,313.4,342.0,257.14,600.0,278.0,231.0,305.0,247.2,357.0,383.0,337.0,328.0,257.14,420.0,512.0,315.0,371.0,315.0,328.0
